Cluster,name,capacity,,,,,
Cluster 4,PV_EL_HUAPE,3,SOLAR_5,,,,
Cluster 4,PV_EL_PITIO,3,SOLAR_5,,,,
Cluster 4,PV_EL_PIUQUEN,3,SOLAR_5,,,,
Cluster 4,PV_EL_ZORZAL,3,SOLAR_5,,,,
Cluster 4,PV_EMILIO_SOLAR_I,3,SOLAR_5,,,,
Cluster 4,PV_ERINOME,3,SOLAR_5,,,,
Cluster 4,PV_LAS_BANDURRIAS,3,SOLAR_5,,,,
Cluster 4,PV_LAS_CODORNICES,3,SOLAR_5,,,,
Cluster 4,PV_LAS_LECHUZAS,3,SOLAR_5,,,,
Cluster 4,PV_LAS_PALOMAS,3,SOLAR_5,,,,
Cluster 4,PV_LAS_PERDICES,3,SOLAR_5,,,,
Cluster 4,PV_LAS_TORTOLAS,3,SOLAR_5,,,,
Cluster 4,PV_LGS,3,SOLAR_5,,,,
Cluster 4,PV_LINARES_SAN_ANTONIO,3,SOLAR_5,,,,
Cluster 4,PV_LINARES_VDN,3,SOLAR_5,,,,
Cluster 4,PV_LOICA,3,SOLAR_5,,,,
Cluster 4,PV_LOS_GORRIONES,3,SOLAR_5,,,,
Cluster 4,PV_LOS_PATOS,3,SOLAR_5,,,,
Cluster 4,PV_LOS_SAUCES_SOLAR_I,3,SOLAR_5,,,,
Cluster 4,PV_LOS_SAUCES_SOLAR_II,3,SOLAR_5,,,,
Cluster 4,PV_LOS_TOLDOS,3,SOLAR_5,,,,
Cluster 4,PV_LUCUMO,3,SOLAR_5,,,,
Cluster 4,PV_MALINKE,3,SOLAR_5,,,,
Cluster 4,PV_MANAO,3,SOLAR_5,,,,
Cluster 4,PV_MERCURIO_SUR,3,SOLAR_5,,,,
Cluster 4,PV_NIQUEN,3,SOLAR_5,,,,
Cluster 4,PV_ORION_SOLAR,3,SOLAR_5,,,,
Cluster 4,PV_PEL_TIUQUE,3,SOLAR_5,,,,
Cluster 4,PV_PITOTOY,3,SOLAR_5,,,,
Cluster 4,PV_PLAYERITO,3,SOLAR_5,,,,
Cluster 4,PV_PLAYERO,3,SOLAR_5,,,,
Cluster 4,PV_PMGD_EL_CONQUISTADOR,3,SOLAR_5,,,,
Cluster 4,PV_PMGD_EL_PICHON,3,SOLAR_5,,,,
Cluster 4,PV_PMGD_SAN_RAFAEL_II,3,SOLAR_5,,,,
Cluster 4,PV_RENAICO_III,3,SOLAR_5,,,,
Cluster 4,PV_SANTA_ESTER,3,SOLAR_5,,,,
Cluster 4,PV_SANTA_EUGENIA,3,SOLAR_5,,,,
Cluster 4,PV_SAN_CAMILO,3,SOLAR_5,,,,
Cluster 4,PV_SAN_FRANCISCO_PARRAL,3,SOLAR_5,,,,
Cluster 4,PV_SAN_JOSE,3,SOLAR_5,,,,
Cluster 4,PV_TRICAHUE,3,SOLAR_5,,,,
Cluster 4,PV_VILLA_CRUZ,3,SOLAR_5,,,,
Cluster 4,PV_VILLA_SECA,3,SOLAR_5,,,,
Cluster 4,PV_SATURNO_NORTE,4.5,SOLAR_5,,,,
Cluster 4,PV_BLU_SOLAR,5,SOLAR_5,,,,
Cluster 4,PV_LEMU,5,SOLAR_5,,,,
Cluster 4,PV_LOS_TORDOS,5,SOLAR_5,,,,
Cluster 4,PV_ALCALDESA,6,SOLAR_5,,,,
Cluster 4,PV_EL_PASO,6,SOLAR_5,,,,
Cluster 4,PV_RCU,6,SOLAR_5,,,,
Cluster 4,PV_ITAHUE_SOLAR_3,6.3,SOLAR_5,,,,
Cluster 4,PV_AEROPUERTO,6.6,SOLAR_5,,,,
Cluster 4,PV_MECO_CHILLAN,6.7,SOLAR_5,,,,
Cluster 4,PV_SGT_TUCAPEL,6.8,SOLAR_5,,,,
Cluster 4,PV_AVELLANO_SOLAR,7.1,SOLAR_5,,,,
Cluster 4,PV_GR_PITAO,7.4,SOLAR_5,,,,
Cluster 4,PV_TENO,7.4,SOLAR_5,,,,
Cluster 4,PV_PEUMO,8,SOLAR_5,,,,
Cluster 4,PV_RINCONADA,8,SOLAR_5,,,,
Cluster 4,PV_AVEL,9,SOLAR_5,,,,
Cluster 4,PV_CABRERO,9,SOLAR_5,,,,
Cluster 4,PV_CENTAURO_SOLAR,9,SOLAR_5,,,,
Cluster 4,PV_CHILLAN_SOLAR_1,9,SOLAR_5,,,,
Cluster 4,PV_CHILLAN_SOLAR_3,9,SOLAR_5,,,,
Cluster 4,PV_CIPRES,9,SOLAR_5,,,,
Cluster 4,PV_CORTIJO,9,SOLAR_5,,,,
Cluster 4,PV_CURICURA,9,SOLAR_5,,,,
Cluster 4,PV_EL_CAIQUEN,9,SOLAR_5,,,,
Cluster 4,PV_EL_CARPINTERO,9,SOLAR_5,,,,
Cluster 4,PV_EL_CHERCAN,9,SOLAR_5,,,,
Cluster 4,PV_EL_FLAMENCO,9,SOLAR_5,,,,
Cluster 4,PV_E_TRILE,9,SOLAR_5,,,,
Cluster 4,PV_GOLONDRINAS,9,SOLAR_5,,,,
Cluster 4,PV_GRANADA,9,SOLAR_5,,,,
Cluster 4,PV_IMPERIAL_SOLAR,9,SOLAR_5,,,,
Cluster 4,PV_LAS_CATITAS,9,SOLAR_5,,,,
Cluster 4,PV_LA_PALMA,9,SOLAR_5,,,,
Cluster 4,PV_LINARES_SOLAR,9,SOLAR_5,,,,
Cluster 4,PV_MACHICURA,9,SOLAR_5,,,,
Cluster 4,PV_MOLINA,9,SOLAR_5,,,,
Cluster 4,PV_MOYA,9,SOLAR_5,,,,
Cluster 4,PV_MUTUPIN,9,SOLAR_5,,,,
Cluster 4,PV_PACHIRA,9,SOLAR_5,,,,
Cluster 4,PV_PARAGUAY,9,SOLAR_5,,,,
Cluster 4,PV_PARQUE_PVP_ITIHUE,9,SOLAR_5,,,,
Cluster 4,PV_PARQUE_SOLAR_FOTOVOLTAICO_LA_VICTORIA,9,SOLAR_5,,,,
Cluster 4,PV_PITAO,9,SOLAR_5,,,,
Cluster 4,PV_PLANTA_FOTOVOLTAICA_DOLORES,9,SOLAR_5,,,,
Cluster 4,PV_PMGD_LAJA,9,SOLAR_5,,,,
Cluster 4,PV_PMGD_PARQUE_EL_TRIGAL,9,SOLAR_5,,,,
Cluster 4,PV_PMGD_PARQUE_PUEBLO_SECO,9,SOLAR_5,,,,
Cluster 4,PV_PMGD_SANTA_JULIA,9,SOLAR_5,,,,
Cluster 4,PV_PMG_CAUQUENES,9,SOLAR_5,,,,
Cluster 4,PV_PMG_CIPRES,9,SOLAR_5,,,,
Cluster 4,PV_PMG_GUINDO_SANTO,9,SOLAR_5,,,,
Cluster 4,PV_PMG_PEUMO,9,SOLAR_5,,,,
Cluster 4,PV_PMG_QUILMO,9,SOLAR_5,,,,
Cluster 4,PV_PMG_RAULI,9,SOLAR_5,,,,
Cluster 4,PV_PMG_SAN_BERNARDO,9,SOLAR_5,,,,
