Cluster,name,capacity
Cluster 3,PV_PIRQUE,2.8
Cluster 1,PV_PITAO,9.0
Cluster 1,PV_PITOTOY,3.0
Cluster 3,PV_PITRA,3.0
Cluster 3,PV_PLACILLA,9.0
Cluster 4,PV_PLANTA_FOTOVOLTAICA_ARICA,9.0
Cluster 3,PV_PLANTA_FOTOVOLTAICA_BELEN,6.0
Cluster 2,PV_PLANTA_FOTOVOLTAICA_CALDERAZA,9.0
Cluster 1,PV_PLANTA_FOTOVOLTAICA_DOLORES,9.0
Cluster 2,PV_PLANTA_FOTOVOLTAICA_LA_PAZ,9.0
Cluster 0,PV_PLANTA_FOTOVOLTAICA_LO_MIGUEL,9.0
Cluster 0,PV_PLANTA_FOTOVOLTAICA_PANGUI,9.0
Cluster 3,PV_PLANTA_FOTOVOLTAICA_PENAFLOR,3.0
Cluster 0,PV_PLANTA_FOTOVOLTAICA_ROSARIO,5.9
Cluster 3,PV_PLANTA_FOTOVOLTAICA_SANTA_TERESITA,9.0
Cluster 1,PV_PLAYERITO,3.0
Cluster 1,PV_PLAYERO,3.0
Cluster 2,PV_PLAYERO_3,3.0
Cluster 3,PV_PLOMO_DEL_VERANO,3.0
Cluster 3,PV_PMGD_ALHUE_2,9.0
Cluster 2,PV_PMGD_ARMAZONES,5.0
Cluster 0,PV_PMGD_COINCO,2.8
Cluster 1,PV_PMGD_EL_CONQUISTADOR,3.0
Cluster 4,PV_PMGD_EL_INGENIO,9.0
Cluster 1,PV_PMGD_EL_PICHON,3.0
Cluster 3,PV_PMGD_ERMITA_DEL_VERANO_SOLAR,8.7
Cluster 1,PV_PMGD_LAJA,9.0
Cluster 0,PV_PMGD_LA_ROSA,5.3
Cluster 3,PV_PMGD_LO_CHACON,3.0
Cluster 4,PV_PMGD_MAIMALICAN,9.0
Cluster 0,PV_PMGD_NAN,6.7
Cluster 2,PV_PMGD_PARANAL,4.0
Cluster 3,PV_PMGD_PARQUE_ALSOL,9.0
Cluster 3,PV_PMGD_PARQUE_BANDURRIAS,1.0
Cluster 3,PV_PMGD_PARQUE_BARRANCON,9.0
Cluster 3,PV_PMGD_PARQUE_DEL_SOL,9.0
Cluster 1,PV_PMGD_PARQUE_EL_TRIGAL,9.0
Cluster 2,PV_PMGD_PARQUE_JOTABECHE,9.0
Cluster 1,PV_PMGD_PARQUE_KALI,2.7
Cluster 1,PV_PMGD_PARQUE_PUEBLO_SECO,9.0
Cluster 3,PV_PMGD_PARQUE_SANTA_MARTA,5.8
Cluster 4,PV_PMGD_SAMO_BAJO,3.0
Cluster 3,PV_PMGD_SAND_SOLAR,9.0
Cluster 1,PV_PMGD_SANTA_JULIA,9.0
Cluster 1,PV_PMGD_SAN_RAFAEL_II,3.0
Cluster 4,PV_PMGD_TARUCA,9.0
Cluster 2,PV_PMGD_VILLA_ALEMANA,3.0
Cluster 3,PV_PMGD_VIOLETA,7.3
Cluster 2,PV_PMGD_YAHUTELA,6.0
Cluster 4,PV_PMG_BUENAVENTURA,9.0
Cluster 1,PV_PMG_CAUQUENES,9.0
Cluster 1,PV_PMG_CIPRES,9.0
Cluster 1,PV_PMG_GUINDO_SANTO,9.0
Cluster 3,PV_PMG_LLANCAY,9.0
Cluster 3,PV_PMG_PARQUE_DONA_CARMEN_RM,9.0
Cluster 1,PV_PMG_PEUMO,9.0
Cluster 1,PV_PMG_QUILMO,9.0
Cluster 1,PV_PMG_RAULI,9.0
Cluster 1,PV_PMG_SAN_BERNARDO,9.0
Cluster 1,PV_PMG_TUTUVEN,9.0
Cluster 1,PV_PMG_VILLA_LONGAVI,9.0
Cluster 3,PV_POBLACION,3.0
Cluster 2,PV_PORTEZUELO,3.0
Cluster 2,PV_PORTEZUELO_VERANO,9.0
Cluster 1,PV_PORVENIR,2.5
Cluster 4,PV_POZO_ALMONTE_1,9.0
Cluster 4,PV_POZO_ALMONTE_2,7.516
Cluster 4,PV_POZO_ALMONTE_3,16.0
Cluster 4,PV_PRETTY_FIELD,2.8
Cluster 4,PV_PROYECTO_LA_LIGUA,3.0
Cluster 3,PV_PSF_CHAMPA,7.6
Cluster 4,PV_PSF_EL_SALITRAL,3.0
Cluster 3,PV_PUANGUE,5.0
Cluster 1,PV_PUELCHE,2.6
Cluster 3,PV_PUENTE,3.0
Cluster 0,PV_PUERTO_SECO,9.0
Cluster 4,PV_PULLALLI,3.0
Cluster 2,PV_PUNTA_BAJA,2.0
Cluster 3,PV_PUNTA_DEL_VIENTO,2.9
Cluster 2,PV_PV_DIEGO_ALMAGRO,30.0
Cluster 4,PV_P_CAMARONES,6.0
Cluster 3,PV_QUEBRADA_DEL_SOL,3.0
Cluster 0,PV_QUELTEHUE,3.0
Cluster 0,PV_QUEMADOS,7.0
Cluster 0,PV_QUETENA,9.0
Cluster 0,PV_QUEULE,7.0
Cluster 2,PV_QUILAPILUN,103.2
Cluster 2,PV_QUILAPILUN_2,7.0
Cluster 3,PV_QUILLAY,2.7
Cluster 1,PV_QUILLEN,2.8
Cluster 1,PV_QUINANTU,9.0
Cluster 0,PV_QUINTA,8.0
Cluster 1,PV_RANGUIL,2.8
Cluster 1,PV_RANGUIL_SOLAR_NORTE,2.9
Cluster 0,PV_RARI_SOLAR,9.0
Cluster 1,PV_RAUQUEN,9.0
Cluster 1,PV_RCU,6.0
Cluster 4,PV_RECOLETA,9.0
Cluster 1,PV_RENAICO_III,3.0
Cluster 2,PV_REXNER,3.0
Cluster 1,PV_RINCONADA,8.0
Cluster 2,PV_RINCONADA_NORTE,3.0
Cluster 2,PV_RIO_ESCONDIDO,145.0
Cluster 3,PV_RLA,2.7
Cluster 2,PV_RODEO,2.9
Cluster 1,PV_ROMERO,9.0
Cluster 0,PV_ROVIAN,7.0
Cluster 3,PV_RUCAPAINE,9.0
Cluster 2,PV_RUCASOL,9.0
Cluster 4,PV_SALAMANCA,2.9
Cluster 3,PV_SALERNO,2.8
Cluster 3,PV_SANTA_ADRIANA,3.0
Cluster 0,PV_SANTA_AMELIA,3.0
Cluster 3,PV_SANTA_CAROLINA,3.0
Cluster 0,PV_SANTA_CECILIA,3.0
Cluster 4,PV_SANTA_CLARA,3.0
Cluster 3,PV_SANTA_EMILIA,11.0
Cluster 1,PV_SANTA_ESTER,3.0
Cluster 1,PV_SANTA_EUGENIA,3.0
Cluster 1,PV_SANTA_FE,9.0
Cluster 4,PV_SANTA_FRANCISCA,6.0
Cluster 2,PV_SANTA_INES,3.0
Cluster 4,PV_SANTA_ISABEL_1_ETAPA_1,158.75
Cluster 3,PV_SANTA_ISABEL_PMGD,9.0
Cluster 4,PV_SANTA_JULIA,3.0
Cluster 4,PV_SANTA_LAURA,3.0
Cluster 1,PV_SANTA_LUISA,2.6
Cluster 3,PV_SANTA_MARGARITA,3.0
Cluster 1,PV_SANTA_RITA,2.7
Cluster 3,PV_SANTA_ROSA,9.0
Cluster 2,PV_SANTIAGO_SOLAR,90.83
Cluster 2,PV_SANTUARIO,3.0
Cluster 1,PV_SAN_ALBERTO,10.0
