Num,generators,gen_types,nombres,zonas
,FINIS_TERRAE_II_FV,solar,SOLAR_9,SEN
,FV 3,solar,SOLAR_9,SEN
,FV_Sol_de_Atacama,solar,SOLAR_9,SEN
,GRANJA_FV,solar,SOLAR_9,SEN
,Guanaco_Solar,solar,SOLAR_9,SEN
,HUATACONDO_FV,solar,SOLAR_9,SEN
,JAVIERA_FV,solar,SOLAR_9,SEN
,LALACKAMA_2_FV,solar,SOLAR_9,SEN
,LALACKAMA_FV,solar,SOLAR_9,SEN
,LA_CRUZ_SOLAR_FV,solar,SOLAR_9,SEN
,LA_HUELLA_FV,solar,SOLAR_10,SEN
,LA_LIGUA_FV,solar,SOLAR_10,SEN
,LLANO_DE_LLAMPOS_FV,solar,SOLAR_10,SEN
,LLAY_LLAY_FV,solar,SOLAR_10,SEN
,LOS_LOROS_FV,solar,SOLAR_10,SEN
,LOS_PALTOS_FV,solar,SOLAR_10,SEN
,LUZ_DEL_NORTE_FV,solar,SOLAR_10,SEN
,Lascar,solar,SOLAR_10,SEN
,MALGARIDA_1_FV,solar,SOLAR_10,SEN
,MALGARIDA_2_FV,solar,SOLAR_10,SEN
,MARIA_ELENA_FV,solar,SOLAR_10,SEN
,MITCHI_FV,solar,SOLAR_10,SEN
,MONTT_SOLAR_FV,solar,SOLAR_11,SEN
,NUEVO_QUILLAGUA_FV,solar,SOLAR_11,SEN
,PAINE_FV,solar,SOLAR_11,SEN
,PAMPA_CAMARONES_FV,solar,SOLAR_11,SEN
,PAMPA_SOLAR_NORTE_FV,solar,SOLAR_11,SEN
,PF_Quillagua,solar,SOLAR_11,SEN
,PF_Tocopilla,solar,SOLAR_11,SEN
,PILOTO_CARDONES_FV,solar,SOLAR_11,SEN
,POZO_ALMONTE_1_FV,solar,SOLAR_12,SEN
,POZO_ALMONTE_2_FV,solar,SOLAR_12,SEN
,POZO_ALMONTE_3_FV,solar,SOLAR_12,SEN
,PUERTO_SECO_FV,solar,SOLAR_12,SEN
,PULLALLI_FV,solar,SOLAR_12,SEN
,PUNTA_BAJA_SOLAR_I_FV,solar,SOLAR_12,SEN
,Pica,solar,SOLAR_12,SEN
,Pintados,solar,SOLAR_12,SEN
,PuntadelViento,solar,SOLAR_12,SEN
,QUETENA_FV,solar,SOLAR_12,SEN
,RIO_ESCONDIDO_FV,solar,SOLAR_12,SEN
,SALVADOR_FV,solar,SOLAR_12,SEN
,SANTA_CECILIA_FV,solar,SOLAR_13,SEN
,SANTA_ISABEL_ETAPA_I_FV,solar,SOLAR_13,SEN
,SAN_ANDRES_FV,solar,SOLAR_13,SEN
,SAN_PEDRO_GPG_FV,solar,SOLAR_13,SEN
,SOL_DE_DESIERTO_1_FV,solar,SOLAR_13,SEN
,SOL_DE_DESIERTO_2_FV,solar,SOLAR_13,SEN
,SOL_DE_LOS_ANDES_FV,solar,SOLAR_13,SEN
,Salar_de_Huasco,solar,SOLAR_14,SEN
,Solar_Toro,solar,SOLAR_14,SEN
,Sur_Viejo,solar,SOLAR_14,SEN
,TAMARAMA_FV,solar,SOLAR_14,SEN
,TAMARUGO_FV,solar,SOLAR_14,SEN
,TAMAYA_SOLAR_FV,solar,SOLAR_14,SEN
,URIBE_SOLAR_FV,solar,SOLAR_14,SEN
,USYA_FV,solar,SOLAR_14,SEN
,VALLE_ESCONDIDO_FV,solar,SOLAR_14,SEN
,VICTORIA_FV,solar,SOLAR_14,SEN
,Wara_III,solar,SOLAR_14,SEN
,ALICAHUE_FV,solar,SOLAR_15,SEN
,ALTURAS_DE_OVALLE_FV,solar,SOLAR_15,SEN
,ANAKENA_FV,solar,SOLAR_15,SEN
,ARIZTIA_FV,solar,SOLAR_15,SEN
,BELLAVISTA_FV,solar,SOLAR_15,SEN
,CABILSOL_FV,solar,SOLAR_15,SEN
,CALLE_LARGA_FV,solar,SOLAR_15,SEN
,CANELILLO_FV,solar,SOLAR_15,SEN
,CANESA_1_FV,solar,SOLAR_15,SEN
,CASUTO_FV,solar,SOLAR_15,SEN
,CHALINGA_FV,solar,SOLAR_15,SEN
,CHUCHINI_FV,solar,SOLAR_15,SEN
,COCINILLAS_FV,solar,SOLAR_15,SEN
,CRUZ_SOLAR_I_FV,solar,SOLAR_15,SEN
,DONA_CARMEN_FV,solar,SOLAR_15,SEN
,DON_ENRIQUE_FV,solar,SOLAR_15,SEN
,EL_BOCO_FV,solar,SOLAR_15,SEN
,EL_PELICANO_FV,solar,SOLAR_15,SEN
,EL_PIQUERO_FV,solar,SOLAR_15,SEN
,EL_ROMERO_FV,solar,SOLAR_15,SEN
,EL_SALITRAL_FV,solar,SOLAR_15,SEN
,EL_SAUCE_FV,solar,SOLAR_15,SEN
,ENCON_SOLAR_FV,solar,SOLAR_15,SEN
,GABRIELA_FV,solar,SOLAR_15,SEN
,GRANATE_FV,solar,SOLAR_15,SEN
,HORNITOS_FV,solar,SOLAR_15,SEN
,HUAQUELON_FV,solar,SOLAR_15,SEN
,JACARANDA_FV,solar,SOLAR_15,SEN
,JAURURO_FV,solar,SOLAR_15,SEN
,LAGUNILLA_FV,solar,SOLAR_15,SEN
,LAS_MAJADAS_FV,solar,SOLAR_15,SEN
,LAS_ROJAS_FV,solar,SOLAR_15,SEN
,LA_CHAPEANA_FV,solar,SOLAR_15,SEN
,LA_CHIMBA_BIS_FV,solar,SOLAR_15,SEN
,LA_SILLA_FV,solar,SOLAR_15,SEN
,LLANOS_DE_POTROSO_FV,solar,SOLAR_15,SEN
,MARIN_FV,solar,SOLAR_15,SEN
,NORTE_CHICO_1_FV,solar,SOLAR_15,SEN
,OCOA_FV,solar,SOLAR_15,SEN
,OLIVILLO_FV,solar,SOLAR_15,SEN
,Ovalle 023 VI,solar,SOLAR_15,SEN
,PAMA_FV,solar,SOLAR_15,SEN
,PANQUEHUE_2_FV,solar,SOLAR_15,SEN
,PEDREROS_FV,solar,SOLAR_15,SEN
,PFV_Sol_de_Vallenar,solar,SOLAR_16,SEN
,PRETTY_FIELD_FV,solar,SOLAR_16,SEN
,RECOLETA_FV,solar,SOLAR_16,SEN
,RODEO_FV,solar,SOLAR_16,SEN
,SANTA_FRANCISCA_FV,solar,SOLAR_16,SEN
,SANTA_JULIA_FV,solar,SOLAR_16,SEN
,SANTA_LAURA_FV,solar,SOLAR_16,SEN
,SANTUARIO_FV,solar,SOLAR_16,SEN
,SDGx01_FV,solar,SOLAR_16,SEN
,SUNHUNTER_FV,solar,SOLAR_16,SEN
,Sierra Gorda Solar,solar,SOLAR_16,SEN
